%E,%e,%S,%U,%P,%M,%K,%D,%p,%X,%Z,%F,%R,%W,%c,%w,%I,%O,%r,%s,%k,%C,%x
2:01.50,121.50,0.54,3.24,3%,72904,0,0,0,0,4096,0,47438,0,291,3067,0,0,0,0,0,docker-compose up -d,0
2:09.00,129.00,0.46,3.31,2%,72952,0,0,0,0,4096,0,47468,0,355,3654,0,0,0,0,0,docker-compose up -d,0
2:15.95,135.95,0.53,3.28,2%,72960,0,0,0,0,4096,0,47468,0,421,3607,0,0,0,0,0,docker-compose up -d,0
1:56.55,116.55,0.53,3.22,3%,72616,0,0,0,0,4096,0,47456,0,266,3227,0,0,0,0,0,docker-compose up -d,0
1:53.86,113.86,0.58,3.14,3%,72476,0,0,0,0,4096,0,47459,0,283,3166,0,0,0,0,0,docker-compose up -d,0
1:56.19,116.19,0.59,3.64,3%,72688,0,0,0,0,4096,0,47472,0,492,3377,0,0,0,0,0,docker-compose up -d,0
1:56.08,116.08,0.59,3.14,3%,72628,0,0,0,0,4096,1,47458,0,271,3198,32,0,0,0,0,docker-compose up -d,0
1:57.88,117.88,0.60,3.25,3%,72612,0,0,0,0,4096,0,47493,0,231,3303,0,0,0,0,0,docker-compose up -d,0
1:59.96,119.96,0.55,3.27,3%,72752,0,0,0,0,4096,0,47476,0,306,3202,0,0,0,0,0,docker-compose up -d,0
2:03.83,123.83,0.63,3.70,3%,72604,0,0,0,0,4096,0,47438,0,542,3244,1680,0,0,0,0,docker-compose up -d,0
2:05.60,125.60,0.62,3.18,3%,72692,0,0,0,0,4096,2,47506,0,398,3335,3928,0,0,0,0,docker-compose up -d,0
2:05.35,125.35,0.59,3.23,3%,72736,0,0,0,0,4096,0,47502,0,404,3185,4128,0,0,0,0,docker-compose up -d,0
2:00.15,120.15,0.60,3.37,3%,72856,0,0,0,0,4096,3,47491,0,320,3510,5080,0,0,0,0,docker-compose up -d,0
2:03.91,123.91,0.59,3.36,3%,72600,0,0,0,0,4096,0,47448,0,463,3309,3152,0,0,0,0,docker-compose up -d,0
2:19.41,139.41,0.50,3.33,2%,72396,0,0,0,0,4096,2,47469,0,345,3433,3376,0,0,0,0,docker-compose up -d,0
2:06.61,126.61,0.54,3.21,2%,72660,0,0,0,0,4096,0,47467,0,294,3274,5680,0,0,0,0,docker-compose up -d,0
2:03.37,123.37,0.55,3.32,3%,72972,0,0,0,0,4096,2,47432,0,427,3312,5160,0,0,0,0,docker-compose up -d,0
2:05.35,125.35,0.52,3.23,3%,72928,0,0,0,0,4096,0,47433,0,283,3411,7048,0,0,0,0,docker-compose up -d,0
2:04.36,124.36,0.65,3.31,3%,73000,0,0,0,0,4096,2,47470,0,517,3873,7664,0,0,0,0,docker-compose up -d,0
1:59.44,119.44,0.56,3.18,3%,72652,0,0,0,0,4096,2,47489,0,308,3358,8128,0,0,0,0,docker-compose up -d,0
2:03.61,123.61,0.58,3.23,3%,72616,0,0,0,0,4096,2,47540,0,203,3391,8232,0,0,0,0,docker-compose up -d,0
1:59.17,119.17,0.60,3.30,3%,72652,0,0,0,0,4096,52,47456,0,689,4575,34920,0,0,0,0,docker-compose up -d,0
1:56.46,116.46,0.60,3.42,3%,72756,0,0,0,0,4096,3,47434,0,676,4130,15408,0,0,0,0,docker-compose up -d,0
1:55.68,115.68,0.66,3.10,3%,72548,0,0,0,0,4096,2,47441,0,244,4089,8616,0,0,0,0,docker-compose up -d,0
1:57.90,117.90,0.62,3.25,3%,72640,0,0,0,0,4096,0,47454,0,530,4229,6312,0,0,0,0,docker-compose up -d,0
2:06.93,126.93,0.70,3.54,3%,72752,0,0,0,0,4096,2,47477,0,576,4198,6744,0,0,0,0,docker-compose up -d,0
2:15.49,135.49,0.63,3.25,2%,72712,0,0,0,0,4096,2,47507,0,444,3828,7456,0,0,0,0,docker-compose up -d,0
2:00.23,120.23,0.53,3.33,3%,72820,0,0,0,0,4096,0,47482,0,474,3735,6920,0,0,0,0,docker-compose up -d,0
2:00.88,120.88,0.67,3.60,3%,72664,0,0,0,0,4096,2,47425,0,586,3631,7176,0,0,0,0,docker-compose up -d,0
2:12.63,132.63,0.62,3.23,2%,72952,0,0,0,0,4096,2,47468,0,382,4157,11656,0,0,0,0,docker-compose up -d,0
