%E,%e,%S,%U,%P,%M,%K,%D,%p,%X,%Z,%F,%R,%W,%c,%w,%I,%O,%r,%s,%k,%x
0:16.25,16.25,0.47,2.70,19%,72112,0,0,0,0,4096,0,57965,0,211,2713,0,0,0,0,0,0
0:17.03,17.03,0.57,2.64,18%,71904,0,0,0,0,4096,0,57942,0,258,2773,0,0,0,0,0,0
0:16.66,16.66,0.51,2.65,18%,72076,0,0,0,0,4096,0,57857,0,161,2770,0,0,0,0,0,0
0:16.86,16.86,0.53,2.71,19%,71756,0,0,0,0,4096,0,57921,0,203,2735,0,0,0,0,0,0
0:16.77,16.77,0.50,2.67,18%,71968,0,0,0,0,4096,0,58018,0,264,2659,0,0,0,0,0,0
0:16.65,16.65,0.56,2.60,19%,71884,0,0,0,0,4096,0,57902,0,176,2883,0,0,0,0,0,0
0:17.16,17.16,0.58,2.65,18%,71996,0,0,0,0,4096,0,57951,0,252,2685,0,0,0,0,0,0
0:16.98,16.98,0.47,2.73,18%,71916,0,0,0,0,4096,0,57811,0,184,2553,0,0,0,0,0,0
0:17.22,17.22,0.50,2.74,18%,71924,0,0,0,0,4096,0,57943,0,275,2716,0,0,0,0,0,0
0:17.05,17.05,0.50,2.75,19%,71972,0,0,0,0,4096,0,58270,0,143,2605,0,0,0,0,0,0
0:16.85,16.85,0.48,2.67,18%,72140,0,0,0,0,4096,0,57899,0,170,2447,0,0,0,0,0,0
0:16.81,16.81,0.52,2.66,18%,71976,0,0,0,0,4096,0,57931,0,167,2616,0,0,0,0,0,0
0:16.99,16.99,0.50,2.66,18%,72020,0,0,0,0,4096,0,57944,0,190,2704,0,0,0,0,0,0
0:17.25,17.25,0.49,2.82,19%,71996,0,0,0,0,4096,0,58017,0,271,2602,0,0,0,0,0,0
0:16.86,16.86,0.47,2.71,18%,71936,0,0,0,0,4096,0,57985,0,235,2747,0,0,0,0,0,0
0:16.83,16.83,0.54,2.65,19%,72188,0,0,0,0,4096,0,57969,0,274,2685,0,0,0,0,0,0
0:16.86,16.86,0.53,2.68,19%,72060,0,0,0,0,4096,0,57930,0,255,2643,0,0,0,0,0,0
0:17.17,17.17,0.45,2.74,18%,72092,0,0,0,0,4096,0,57897,0,173,2665,0,0,0,0,0,0
0:16.83,16.83,0.50,2.67,18%,72084,0,0,0,0,4096,0,57909,0,187,2723,0,0,0,0,0,0
0:16.87,16.87,0.52,2.70,19%,72000,0,0,0,0,4096,0,58009,0,172,2657,0,0,0,0,0,0
0:17.02,17.02,0.51,2.72,19%,71956,0,0,0,0,4096,0,57945,0,174,2911,0,0,0,0,0,0
0:16.89,16.89,0.51,2.72,19%,71924,0,0,0,0,4096,0,58006,0,265,2840,0,0,0,0,0,0
0:17.52,17.52,0.54,2.68,18%,72056,0,0,0,0,4096,0,57870,0,320,2689,0,0,0,0,0,0
0:17.32,17.32,0.51,2.67,18%,72092,0,0,0,0,4096,0,57930,0,159,2801,0,0,0,0,0,0
0:17.20,17.20,0.52,2.68,18%,72024,0,0,0,0,4096,0,57926,0,226,2600,0,0,0,0,0,0
0:17.13,17.13,0.49,2.69,18%,72228,0,0,0,0,4096,0,57846,0,202,2781,0,0,0,0,0,0
0:16.78,16.78,0.50,2.60,18%,72004,0,0,0,0,4096,0,57886,0,163,2656,0,0,0,0,0,0
0:17.41,17.41,0.51,2.68,18%,71968,0,0,0,0,4096,0,57913,0,174,2660,0,0,0,0,0,0
0:17.09,17.09,0.51,2.65,18%,72000,0,0,0,0,4096,0,57894,0,148,2771,0,0,0,0,0,0
0:17.07,17.07,0.50,2.77,19%,72112,0,0,0,0,4096,0,57980,0,214,2791,0,0,0,0,0,0
